               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.012702,            0.015101,           0.0025591,             0.91479,             0.91265,             0.92761,             0.65843,            0.024116,             0.04344,           0.0038429,            0.070545,           0.0032727,           0.0032727
                   1,            0.013419,            0.014744,           0.0019445,             0.90063,             0.94942,             0.94973,             0.64908,            0.025634,            0.044719,            0.003609,            0.040532,            0.006593,            0.006593
                   2,            0.015092,            0.015581,           0.0019227,             0.92194,             0.92613,             0.92461,              0.6275,            0.026048,            0.045256,           0.0038334,            0.010506,              0.0099,              0.0099
                   3,            0.017147,            0.015903,           0.0025402,             0.90241,             0.92084,             0.92559,             0.64672,            0.025154,              0.0442,           0.0039893,           0.0099406,           0.0099406,           0.0099406
                   4,            0.017125,            0.017063,           0.0024796,             0.90185,             0.93596,             0.92421,             0.63069,            0.025557,            0.041506,           0.0041985,           0.0099406,           0.0099406,           0.0099406
                   5,            0.016353,            0.016258,           0.0023123,             0.91023,             0.92356,             0.92723,             0.62104,            0.025972,            0.042237,           0.0042142,           0.0099208,           0.0099208,           0.0099208
                   6,            0.016993,            0.016514,           0.0024636,              0.8598,             0.97268,             0.94998,             0.63655,            0.026216,            0.041348,           0.0038373,            0.009901,            0.009901,            0.009901
                   7,             0.01646,            0.016269,            0.002581,             0.92147,             0.93233,             0.94139,             0.65539,            0.025268,             0.04378,           0.0040366,           0.0098812,           0.0098812,           0.0098812
                   8,            0.016093,            0.016473,           0.0026215,             0.91749,             0.93912,             0.94003,             0.64991,            0.025257,            0.041608,           0.0038296,           0.0098614,           0.0098614,           0.0098614
                   9,            0.016633,            0.016396,           0.0025893,             0.88901,             0.93206,             0.94474,             0.65045,            0.026378,            0.039779,           0.0035927,           0.0098416,           0.0098416,           0.0098416
                  10,             0.01634,            0.017282,           0.0022875,             0.90408,             0.93833,             0.93824,              0.6394,            0.026284,            0.040772,           0.0038569,           0.0098218,           0.0098218,           0.0098218
                  11,            0.016205,            0.017014,           0.0024678,             0.91018,             0.93408,             0.95082,             0.67136,            0.024756,            0.041062,           0.0035947,            0.009802,            0.009802,            0.009802
